id,symbol,group,period,family,english,german,french,spanish,italian,mass,density,radius,conductivity,sp_heat,th_conductivity,Notes,source,color,characteristics,uses,toxic,state,half_life
30,Zn,12,4,Transition,zinc,Zink,zinc,zinc,zinco,65.38,7.13,1.53,0.166,0.39,116,,Sphalerite (sulfide),silvery,brittle,"batteries, galvanizing",,s,Stable
31,Ga,13,4,BasicMetal,gallium,Gallium,gallium,galio,gallio,69.72,5.9,1.81,0.0678,0.37,40.6,,Bauxite (oxide),silvery-blue,melts near r.t.wets glass,"photocells, transistors",,s,Stable
32,Ge,14,4,Semimetal,germanium,Germanium,germanium,germanio,germanio,72.63,5.32,1.52,1.45E-08,0.32,59.9,,Zn smelting by-product,gray-black,"semimetal, brittle","transistor, wide-ang lens",,s,Stable
33,As,15,4,Semimetal,arsenic,Arsen,arsenic,arsénico,arsenico,74.92,5.73,1.33,0.0345,0.33,50,sublimes (28 atm) ,"Arsenopyrite, enargite (misc)",gray,"semimetal,brittle,3 forms","photocells (GaAs), poisons",,s,Stable
34,Se,16,4,NonMetal,selenium,Selen,sélénium,selenio,selenio,78.97,4.79,1.22,1E-12,0.32,2.04,,Cu smelting by-product,black,6 forms,"Xerography, medicines",TRUE,s,Stable
35,Br,17,4,Halogen,bromine,Brom,brome,bromo,bromo,79.9,3.12,1.12,,0.473,0.122,,"Seawater, brines",red-brown,"diatomic,corrosive,liquid","pesticides,photography",TRUE,l,Stable
36,Kr,18,4,Noble,krypton,Krypton,krypton,criptón,kripto,83.8,0.00374,1.03,,0.248,0.00949,,Air,colorless,unreactive,"lamps, UV-laser",FALSE,g,Stable
37,Rb,1,5,Alkali,rubidium,Rubidium,rubidium,rubidio,rubidio,85.47,1.53,2.98,0.0779,0.363,58.2,,Li extractn by-product,silvery-white,soft,photocells,,s,Stable
38,Sr,2,5,Alkaline,strontium,Strontium,strontium,estroncio,stronzio,87.62,2.54,2.45,0.0762,0.3,35.3,,Celestite (sulfide),silvery,tarnishes,fireworks (red flame),,s,Stable
39,Y,3,5,Transition,yttrium,Yttrium,yttrium,itrio,ittrio,88.91,4.47,2.27,0.0166,0.3,17.2,,xenotime (phosphate),silvery,forms protective oxide,"YAG laser, TV phosphor",,s,Stable
40,Zr,4,5,Transition,zirconium,Zirkonium,zirconium,circonio,zirconio,91.22,6.51,2.16,0.0236,0.27,22.7,,Zircon (silicate),grayish-white,"hard, relatively inert","deodorants, fuel rod clad",,s,Stable
41,Nb,5,5,Transition,niobium,Niob,niobium,niobio,niobio,92.91,8.57,2.08,0.0693,0.26,53.7,,columbite (oxide),silvery-white,soft,"stainless steels, magnets",,s,Stable
42,Mo,6,5,Transition,molybdenum,Molybdän,molybdène,molibdeno,molibdeno,95.95,10.2,2.01,0.187,0.25,138,,Molybdenite (sulfide),silvery-white,very hard,"catalysts, tool steel",,s,Stable
43,Tc,7,5,Transition,technetium,Technetium,technétium,tecnecio,tecnezio,98,11.5,1.95,0.067,0.21,50.6,,Synthetic (U fission),silvery gray,"Radioactive, man made",medical imaging agents,,s,1300000000000000
44,Ru,8,5,Transition,ruthenium,Ruthenium,ruthénium,rutenio,rutenio,101.1,12.4,1.89,0.137,0.238,117,,nickel ores (sulfides),silvery-white,hard,catalysts,,s,Stable
45,Rh,9,5,Transition,rhodium,Rhodium,rhodium,rodio,rodio,102.9,12.4,1.83,0.211,0.242,150,,nickel ores (sulfides),silvery-white,forms hard coatings,"catalysts, elec. contacts",,s,Stable
46,Pd,10,5,Transition,palladium,Palladium,palladium,paladio,palladio,106.4,12,1.79,0.095,0.24,71.8,,nickel ores (sulfides),silvery-white,absorbs H2,"catalysts, dental crowns",,s,Stable
47,Ag,11,5,Transition,silver,Silber,argent,plata,argento,107.9,10.5,1.75,0.63,0.235,429,,Argentite (sulfide),silvery,"soft, ductile, tarnishes","film(AgBr),coins,jewelry",,s,Stable
48,Cd,12,5,Transition,cadmium,Kadmium,cadmium,cadmio,cadmio,112.4,8.65,1.71,0.138,0.23,96.8,,Sphalerite (sulfide),bluish-white,soft,"battery,yel. pigment(CdS)",,s,Stable
49,In,13,5,BasicMetal,indium,Indium,indium,indio,indio,114.8,7.31,2,0.116,0.23,81.6,,Zn/Pb smelting by-product,silvery-white,soft,"transistors, photocells",,s,Stable
50,Sn,14,5,BasicMetal,tin,Zinn,Étain,estaño,stagno,118.7,7.31,1.72,0.0917,0.227,66.6,,Cassiterite (oxide),silvery-white,resists corrosion,2 forms,"solder, pewter, bronze",s,Stable
51,Sb,15,5,Semimetal,antimony,Antimon,antimoine,antimonio,antimonio,121.8,6.69,1.53,0.0288,0.21,24.3,,Stibnite (sulfide),bluish-white,brittle, 5 forms,"Pb alloy(battery), dyeing",s,Stable
52,Te,16,5,Semimetal,tellurium,Tellur,tellure,teluro,tellurio,127.6,6.24,1.43,2E-06,0.2,2.35,,Zn/Pb smelting by-product,silvery,semimetal,"semiconductors, steel",TRUE,s,Stable
53,I,17,5,Halogen,iodine,Iod (Jod),iode,yodo,iodio,126.9,4.93,1.32,8E-16,0.214,0.449,,"Brines, Chilean nitrate (misc)",bluish-black,diatomic,"nutrient, antiseptic",TRUE,s,Stable
54,Xe,18,5,Noble,xenon,Xenon,xénon,xenón,xeno,131.3,0.00589,1.24,,0.158,0.00569,,Air,colorless,unreactive,"UV-laser, hi intens lamps",FALSE,g,Stable
55,Cs,1,6,Alkali,cesium,Zäsium,césium,cesio,cesio,132.9,1.87,3.34,0.0489,0.24,59,,Li extractn by-product,yellow/silvery,softest metal,"photocells, IR lamps",,s,Stable
56,Ba,2,6,Alkaline,barium,Barium,baryum,bario,bario,137.3,3.5,2.78,0.03,0.204,18.4,,Barite (sulfate),silvery-white,soft,X-ray imaging agnt(BaSO4),,s,Stable
57,La,L,6,L,lanthanum,Lanthan,lanthane,lantano,lantanio,138.9,6.15,2.74,0.0126,0.19,13.5,,"Monazite(phosphate),bastnaesite",silvery-white,"soft, malleable","lighter flints, CRTs",,s,Stable
58,Ce,L,6,L,cerium,Zer,cérium,cerio,cerio,140.1,6.66,2.7,0.0115,0.19,11.4,,"Monazite(phosphate),bastnaesite",silvery-white,malleable,self-cleaning ovens(CeO2),,s,Stable
59,Pr,L,6,L,praseodymium,Praseodym,praséodyme,prosedimio,praseodimio,140.9,6.77,2.67,0.0148,0.19,12.5,,"Monazite(phosphate),bastnaesite",silvery-white,soft,"alloys, Welder's mask",,s,Stable
60,Nd,L,6,L,neodymium,Neodym,néodyme,neodimio,neodimio,144.2,7,2.64,0.0157,0.19,16.5,,"Monazite(phosphate),bastnaesite",silvery-white,,"alloys, Welder's mask",,s,Stable
61,Pm,L,6,L,promethium,Promethium,prométhium,promecio,promezio,145,7.26,2.62,,0.18,17.9,,Synthetic,silvery-white,Radioactive,nuclear battery,,s,559000000
62,Sm,L,6,L,samarium,Samarium,samarium,samario,samario,150.4,7.52,2.59,0.00956,0.2,13.3,,"Monazite(phosphate),bastnaesite",silvery-white,,"alloys, headphones",,s,Stable
63,Eu,L,6,L,europium,Europium,europium,europio,europio,152,5.24,2.56,0.00112,0.18,13.9,,"Monazite(phosphate),bastnaesite",silvery-white,hard,"alloys, color TV phosphor",,s,Stable
64,Gd,L,6,L,gadolinium,Gadolinium,gadolinium,gadolineo,gadolinio,157.3,7.9,2.54,0.00736,0.23,10.6,,"Monazite(phosphate),bastnaesite",silvery-white,,"alloys, CD disk",,s,Stable
65,Tb,L,6,L,terbium,Terbium,terbium,terbio,terbio,158.9,8.23,2.51,0.00889,0.18,11.1,,"Monazite(phosphate),bastnaesite",silvery-white,soft,alloys,,s,Stable
66,Dy,L,6,L,dysprosium,Dysprosium,dysprosium,disprosio,disprosio,162.5,8.55,2.49,0.0108,0.17,10.7,,"Monazite(phosphate),bastnaesite",silvery-white,neutron absorber,"alloys, CD disk",,s,Stable
67,Ho,L,6,L,holmium,Holmium,holmium,holmio,olmio,164.9,8.8,2.47,0.0124,0.16,16.2,,"Monazite(phosphate),bastnaesite",silvery-white,,alloys,,s,Stable
68,Er,L,6,L,erbium,Erbium,erbium,erbio,erbio,167.3,9.07,2.45,0.0117,0.17,14.3,,"Monazite(phosphate),bastnaesite",silvery-white,,"alloys, photogr. filter",,s,Stable
69,Tm,L,6,L,thulium,Thulium,thulium,tulio,tulio,168.9,9.32,2.42,0.015,0.16,16.8,,"Monazite(phosphate),bastnaesite",silvery-white,soft,alloys,,s,Stable
70,Yb,L,6,L,ytterbium,Ytterbium,ytterbium,iterbio,itterbio,173.1,6.97,2.4,0.0351,0.15,34.9,,"Monazite(phosphate),bastnaesite",silvery-white,soft,alloys,,s,Stable
71,Lu,3,6,L,lutetium,Lutetium,lutécium,lutecio,lutezio,175,9.84,2.25,0.0185,0.15,16.4,,"Monazite(phosphate),bastnaesite",silvery-white,,alloys,,s,Stable
72,Hf,4,6,Transition,hafnium,Hafnium,hafnium,hafnio,hafnio,178.5,13.3,2.16,0.0312,0.14,23,,Zircon (silicate),silvery,hard,nuclear control rods,,s,Stable
73,Ta,5,6,Transition,tantalum,Tantal,tantale,tántalo,tantalio,180.9,16.6,2.09,0.0761,0.14,57.5,,Tantalite (oxide),gray,"hard, inert at <100 deg.C","surg. implants,heat exch.",,s,Stable
74,W,6,6,Transition,tungsten,Wolfram,tungstène,wolframio or tungsteno,tungsteno,183.8,19.3,2.02,0.189,0.13,174,,"Scheelite,wolframite(oxide)",bluish-gray,highest melting metal,"WC drill bits, bulb wire",,s,Stable
75,Re,7,6,Transition,rhenium,Rhenium,rhénium,renio,renio,186.2,21,1.97,0.0542,0.13,47.9,,Molybdenite (sulfide),silvery-white,high melting point,"catalysts, thermocouples",,s,Stable
76,Os,8,6,Transition,osmium,Osmium,osmium,osmio,osmio,190.2,22.6,1.92,0.109,0.13,87.6,,nickel ores (sulfides),bluish-white,"hard, dense, inert <100 C","hard alloys,phono needles",,s,Stable
77,Ir,9,6,Transition,iridium,Iridium,iridium,iridio,iridio,192.2,22.4,1.87,0.197,0.13,147,,nickel ores (sulfides),white,"hard, densest el, inert",Pt/Ir sparkplugs,,s,Stable
78,Pt,10,6,Transition,platinum,Platin,platine,platino,platino,195.1,21.4,1.83,0.0966,0.13,71.6,,nickel ores (sulfides),silvery-white,"Inert, ductile","jewelry, catalysts",,s,Stable
79,Au,11,6,Transition,gold,Gold,or,oro,oro,197,19.3,1.79,0.452,0.128,317,,"Gold, gold bearing rock (misc)",golden yellow,"Inert, ductile malleable","jewelry, electronics",,s,Stable
80,Hg,12,6,Transition,mercury,Quecksilber,mercure,mercurio,mercurio,200.6,13.5,1.76,0.0104,0.139,8.34,,Cinnabar (sulfide),silvery-white,"liquid at r.t., volatile","amalgams, Cl2, NaOH prod.",TRUE,l,Stable
81,Tl,13,6,BasicMetal,thallium,Thallium,thallium,talio,tallio,204.4,11.9,2.08,0.0617,0.13,46.1,,Zn/Pb smelting by-product,bluish-gray,soft,"IR detectors, photomult.",,s,Stable
82,Pb,14,6,BasicMetal,lead,Blei,plomb,plomo,piombo,207.2,11.4,1.81,0.0481,0.13,35.3,,Galena (sulfide),gray,soft,"batteries, solder, paints",,s,Stable
83,Bi,15,6,BasicMetal,bismuth,Wismut,bismuth,bismuto,bismuto,209,9.75,1.63,0.00867,0.12,7.87,,Pb smelting by-product,white,brittle,"antacid, fusible alloy",,s,5.99E+027
84,Po,16,6,Semimetal,polonium,Polonium,polonium,polonio,polonio,209,9.32,1.53,0.0219,0.12,20,,"pitchblende, synthetic",blue glow,Radioactive, 2 forms,thermoelectric power,s,3220000000
85,At,17,6,Halogen,astatine,Astat,astate,astato,astato,210,,1.43,,,1.7,,Synthetic(Th or U decay),,Radioactive,,,s,29000
86,Rn,18,6,Noble,radon,Radon,radon,radón,radon,222,0.00973,1.34,,0.09,0.00364,,Synthetic(Ra-226 decay),colorless,"Radioactive,air pollutant",earthquake prediction,,g,330000
87,Fr,1,7,Alkali,francium,Franzium,francium,francio,francio,223,,,0.03,,15,,Synthetic(U-235 decay),,Radioactive,,,s,1300
88,Ra,2,7,Alkaline,radium,Radium,radium,radio,radio,226,5,,,0.12,18.6,,pitchblende(U-238 decay),white,"Radioactive, luminescent",neutron source,,s,501000000000
89,Ac,A,7,A,actinium,Aktinium,actinium,actinio,attinio,227,10.1,,,,12,,Synthetic(U-235 decay),silvery-white,Radioactive,thermoelectric power,,s,687000000
90,Th,A,7,A,thorium,Thorium,thorium,torio,torio,232,11.7,,0.0653,0.12,54,,"Monazite(phosphate),U extractn",white,Radioactive,gas mantles (ThO2),,s,4.43E+018
91,Pa,A,7,A,protactinium,Protaktinium,protactinium,protactinio,protoattinio,231,15.4,,0.0529,0.12,47,,Synthetic(U-235 decay),silvery,Radioactive,,,s,1030000000000
92,U,A,7,A,uranium,Uran,uranium,uranio,uranio,238,19,,0.038,0.12,27.6,,Uranite (oxide),silvery,Radioactive,nuclear reactor fuel,,s,1.41E+018
93,Np,A,7,A,neptunium,Neptunium,neptunium,neptunio,nettunio,237,20.2,,0.00822,0.12,6.3,,Synthetic,silvery,Radioactive,,,s,677000000000000
94,Pu,A,7,A,plutonium,Plutonium,plutonium,plutonio,plutonio,244,19.8,,0.00666,0.13,6.74,,Synthetic,silvery,Radioactive,"weapon fuel, pacemakers",,s,2.5E+016
95,Am,A,7,A,americium,Amerizium,américium,americio,americio,243,13.7,,0.022,0.11,10,,Synthetic,silvery-white,Radioactive,smoke detector,,s,233000000000
96,Cm,A,7,A,curium,Kurium,curium,curio,curio,247,13.5,,,,10,,Synthetic,silvery-white,Radioactive,"thermoelec. pwr, n source",,s,4920000000000000
97,Bk,A,7,A,berkelium,Berkelium,berkélium,berkelio,berkelio,247,14,,,,10,,Synthetic,silvery,Radioactive,,,s,43500000000
98,Cf,A,7,A,californium,Kalifornium,californium,californio,californio,251,,,,,10,,Synthetic,,Radioactive,neutron source,,,28400000000
99,Es,A,7,A,einsteinium,Einsteinium,einsteinium,einstenio,einstenio,252,,,,,10,,Synthetic,,Radioactive,,,,40800000
100,Fm,A,7,A,fermium,Fermium,fermium,fermio,fermio,257,,,,,10,,Synthetic,,Radioactive,,,,8680000
101,Md,A,7,A,mendelevium,Mendelevium,mendélévium,mendelevio,mendelevio,258,,,,,10,,Synthetic,,Radioactive,,,,4450000
102,No,A,7,A,nobelium,Nobelium,nobélium,nobelio,nobelio,259,,,,,10,,Synthetic,,Radioactive,,,,10000
103,Lr,3,7,A,lawrencium,Lawrencium,lawrencium,lawrencio,laurenzio,262,,,,,10,,Synthetic,,"Radioactive,few atms made",,,,36000
104,Rf,4,7,Transition,rutherfordium,Rutherfordium,rutherfordium,ruterfordio,rutherfordio,267,,,,,23,,,,,,,,47200
105,Db,5,7,Transition,dubnium,Dubnium,dubnium,dubnio,dubnio,268,,,,,58,,,,,,,,20000
106,Sg,6,7,Transition,seaborgium,Seaborgium,seaborgium,seaborgio,seaborgio,271,,,,,,,,,,,,,6980
107,Bh,7,7,Transition,bohrium,Bohrium,bohrium,bohrio,bohrio,272,,,,,,,,,,,,,5400
108,Hs,8,7,Transition,hassium,Hassium,hassium,hassio,hassio,270,,,,,,,,,,,,,4000
109,Mt,9,7,Transition,meitnerium,Meitnerium ,meitnérium,meitnerio,meitnerio,276,,,,,,,,,,,,,1800
110,Ds,10,7,Transition,darmstadtium,Darmstadtium,darmstadtium,darmstadtio,darmstadtio,281,,,,,,,,,,,,,240
111,Rg,11,7,Transition,roentgentium,Roentgentium,roentgentium,roentgentio,roentgentio,280,,,,,,,,,,,,,600
112,Cn,12,7,Transition,copernicum,Kopernikum,copérnicum,copernico,copernico,285,,,,,,,,,,,,,2400
113,Nh,13,7,BasicMetal,nihonium,Nihonium,nihonium,nihonio,nihonio,284,,,,,,,,,,,,,1200
114,Fl,14,7,BasicMetal,flerovium,Flerovium,flerovium,flerovio,flerovio,289,,,,,,,,,,,,,79.8
115,Mc,15,7,BasicMetal,moscovium,Moscovium,moscovium,moscovio,moscovio,288,,,,,,,,,,,,,60
116,Lv,16,7,BasicMetal,livermorium,Livermorium,livermorium,livermorio,livermorio,293,,,,,,,,,,,,,0.12
117,Ts,17,7,Halogen,tennessine,Tennessine,tennessine,tennessio,tennessio,292,,,,,,,,,,,,,0.05
118,Og,18,7,Noble,oganesson,Oganesson,oganesson,oganessio,oganessio,294,,,,,,,,,,,,,0.005
